OBJECTID,NEIGHBORHOOD_ID,NAME,SUM_POPULATION_2010,SUM_HISPANIC_2010,SUM_WHITE_2010,SUM_BLACK_2010,SUM_NATIVE_AM_2010,SUM_ASIAN_2010,SUM_HAW_PACIS_2010,SUM_OTHER_2010,SUM_TWO_OR_MORE_2010,SUM_Pct_Hispanic,SUM_Pct_White,SUM_Pct_Black,SUM_Pct_AmerInd,SUM_Pct_Asian,SUM_Pct_Haw_PacIs,SUM_Pct_Other_Race,SUM_Pct_Two_or_More_Races,SUM_HOUSINGUNITS_2010,SUM_OCCUPIEDUNITS_2010,SUM_VACANTUNITS_2010,SUM_Male,SUM_Female,SUM_Age_Less_5,SUM_Age_5_to_9,SUM_Age_10_to_14,SUM_Age_15_to_17,SUM_Age_18_and_19,SUM_Age_20,SUM_Age_21,SUM_Age_22_to_24,SUM_Age_25_to_29,SUM_Age_30_to_34,SUM_Age_35_to_39,SUM_Age_40_to_44,SUM_Age_45_to_49,SUM_Age_50_to_54,SUM_Age_55_to_59,SUM_Age_60_and_61,SUM_Age_62_to_64,SUM_Age_65_and_66,SUM_Age_67_to_69,SUM_Age_70_to_74,SUM_Age_75_to_79,SUM_Age_80_to_84,SUM_Age_85_Plus,SUM_Age_0_to_9,SUM_Age_10_to_19,SUM_Age_20_to_29,SUM_Age_30_to_39,SUM_Age_40_to_49,SUM_Age_50_to_59,SUM_Age_60_to_69,SUM_Age_70_to_79,SUM_Age_80_Plus,SUM_Age_Less_18,SUM_Age_65_Plus,SUM_Pct_Less_18,SUM_Pct_65_Plus,SUM_Num_Households,SUM_One_Person_HH,SUM_One_Person_HH_Male,SUM_One_Person_HH_Female,SUM_Two_or_More_Person_HH,SUM_Family_Hhld,SUM_Husb_Wife_Fam,SUM_Husb_Wife_No_Child,SUM_Husb_Wife_w_Chldr,SUM_Other_Family,SUM_Male_Hhldr_No_Wife,SUM_Male_Hhldr_w_Chldr,SUM_Male_Hhldr_No_Childr,SUM_Female_Hhldr_No_Husb,SUM_Female_Hhldr_w_Childr,SUM_Female_Hhldr_No_Childr,SUM_Non_Family_HH,SUM_Non_Family_Male_Hhldr,SUM_Non_Family_Female_Hhldr,SUM_HH_w_NonRelatives,SUM_HH_No_NonRelatives,SUM_Families,SUM_Pop_Group_Qrtrs,SUM_GQ_Institutionalized,SUM_GQ_Correctional_Fac,SUM_GQ_Juvenile_Fac,SUM_GQ_Nursing_Fac,SUM_GQ_Other_Inst_Fac,SUM_GQ_NonInstitutional,SUM_GQ_CollegeHousing,SUM_GQ_MilitaryQuarters,SUM_GQ_Other_NonInst,SUM_Housing_Units,SUM_Occupied_HU,SUM_Vacant_HU,SUM_Owned_w_Mortg_Loan,SUM_Owned_Free_Clear,SUM_Rented,SUM_Vacant_For_Rent,SUM_Vacant_Rented_Not_Occ,SUM_Vacant_For_Sale,SUM_Vacant_Sold_Not_Occ,SUM_Vacant_Seasonal,SUM_Vacant_Migrant_Wrkr,SUM_Vacant_Other,SUM_HU_Owned,SUM_Owned_Age_15_to_24,SUM_Owned_Age_25_to_34,SUM_Owned_Age_35_to_44,SUM_Owned_Age_45_to_54,SUM_Owned_Age_55_to_59,SUM_Owned_Age_60_to_64,SUM_Owned_Age_65_to_74,SUM_Owned_Age_75_to_84,SUM_Owned_Age_85_Plus,SUM_HU_Rented,SUM_Rented_Age_15_to_24,SUM_Rented_Age_25_to_34,SUM_Rented_Age_35_to_44,SUM_Rented_Age_45_to_54,SUM_Rented_Age_55_to_59,SUM_Rented_Age_60_to_64,SUM_Rented_Age_65_to_74,SUM_Rented_Age_75_to_84,SUM_Rented_Age_85_Plus,Shape__Area,Shape__Length
1,74,West Colfax,9740,6025,2875,385,138,154,7,26,130,61.86,29.52,3.95,1.42,1.58,0.07,0.27,1.33,4049,3703,346,4839,4901,993,774,640,349,271,173,165,550,939,837,713,534,535,532,432,174,191,122,166,226,180,134,110,1767,1260,1827,1550,1069,964,653,406,244,2756,938,28.3,9.63,3703,1325,710,615,2378,1971,1006,550,456,965,248,106,142,717,451,266,407,259,148,700,3003,1971,210,0,0,0,0,0,210,0,0,210,4049,3703,346,775,182,2746,207,8,46,12,6,0,67,957,15,180,192,189,96,80,99,79,27,2746,293,652,501,436,160,166,297,176,65,27983655.9526367,24977.0177002952
2,75,West Highland,8540,1637,6472,94,55,145,2,19,116,19.17,75.78,1.1,0.64,1.7,0.02,0.22,1.36,4512,4256,256,4144,4396,554,370,250,130,83,36,51,274,988,1123,1004,686,521,564,559,198,224,107,165,210,166,106,171,924,463,1349,2127,1207,1123,694,376,277,1304,925,15.27,10.83,4256,1764,798,966,2492,1853,1449,534,915,404,131,64,67,273,131,142,639,348,291,732,3524,1853,220,80,0,37,43,0,140,0,0,140,4512,4256,256,2228,437,1591,73,13,57,9,18,0,86,2665,16,527,745,490,273,198,226,114,76,1591,101,607,286,205,88,80,101,81,42,31298250.4526367,23646.8558362044
3,58,Southmoor Park,3826,269,3170,88,6,218,1,2,72,7.03,82.85,2.3,0.16,5.7,0.03,0.05,1.88,2686,2135,551,1885,1941,191,147,104,57,42,37,28,347,645,353,249,237,219,246,179,89,93,60,65,102,82,119,135,338,203,1057,602,456,425,307,184,254,499,563,13.04,14.72,2135,1041,477,564,1094,796,624,207,417,172,50,18,32,122,49,73,298,162,136,339,1796,796,0,0,0,0,0,0,0,0,0,0,2686,2135,551,544,243,1348,476,0,24,2,22,0,27,787,5,56,127,147,72,85,116,115,64,1348,239,576,177,153,47,39,26,37,54,25981152.909668,35113.1245443902
4,38,Indian Creek,3096,295,2258,328,11,109,3,5,87,9.53,72.93,10.59,0.36,3.52,0.1,0.16,2.81,1874,1785,89,1314,1782,151,108,97,51,26,17,16,94,314,323,247,227,222,270,261,122,137,70,104,113,58,42,26,259,174,441,570,449,531,433,171,68,407,413,13.15,13.34,1785,900,280,620,885,684,455,135,320,229,57,28,29,172,91,81,201,90,111,251,1534,684,0,0,0,0,0,0,0,0,0,0,1874,1785,89,1117,210,458,18,3,33,4,11,0,20,1327,11,214,246,286,147,169,183,58,13,458,34,158,91,79,30,26,30,9,1,13589573.565918,22100.4225572932
5,24,East Colfax,10191,2824,3299,2473,77,1154,8,11,345,27.71,32.37,24.27,0.76,11.32,0.08,0.11,3.39,4618,4273,345,5147,5044,899,709,638,349,283,188,155,623,1099,1049,832,669,678,613,481,176,191,101,118,121,106,56,57,1608,1270,2065,1881,1347,1094,586,227,113,2595,559,25.46,5.49,4273,1596,878,718,2677,2106,1200,633,567,906,250,109,141,656,385,271,571,320,251,819,3454,2106,0,0,0,0,0,0,0,0,0,0,4618,4273,345,1222,232,2819,152,3,68,7,5,0,110,1454,16,274,312,306,162,145,134,85,20,2819,369,847,608,546,176,124,101,36,12,29808302.6142578,23790.852052129
6,53,Rosedale,2553,275,2144,39,11,30,0,4,50,10.77,83.98,1.53,0.43,1.18,0,0.16,1.96,1380,1293,87,1243,1310,172,101,81,35,28,19,29,107,363,284,227,183,142,153,160,52,70,31,31,36,39,67,143,273,144,518,511,325,313,184,75,210,389,347,15.24,13.59,1293,539,218,321,754,556,408,154,254,148,57,30,27,91,38,53,198,105,93,240,1053,556,29,0,0,0,0,0,29,0,0,29,1380,1293,87,533,114,646,38,5,10,0,4,0,30,647,4,136,147,111,77,61,53,37,21,646,51,184,108,72,32,24,16,53,106,15714799.2617188,15839.8340548886
7,14,City Park,2907,304,2182,258,12,69,2,4,76,10.46,75.06,8.88,0.41,2.37,0.07,0.14,2.61,1851,1645,206,1410,1497,137,84,64,31,36,20,25,191,506,429,276,195,144,144,139,76,93,35,57,65,52,61,47,221,131,742,705,339,283,261,117,108,316,317,10.87,10.9,1645,888,426,462,757,462,316,106,210,146,33,17,16,113,71,42,295,158,137,328,1317,462,145,145,0,0,145,0,0,0,0,0,1851,1645,206,488,76,1081,56,7,108,4,21,0,10,564,4,142,149,92,46,61,50,15,5,1081,121,471,174,116,35,58,47,43,16,21423594.0249023,18660.4167228941
8,42,Lowry Field,8067,800,5957,794,23,271,5,14,203,9.92,73.84,9.84,0.29,3.36,0.06,0.17,2.52,4113,3829,284,3678,4389,702,683,424,191,92,58,63,335,883,759,810,684,487,403,414,158,207,81,97,146,95,106,189,1385,707,1339,1569,1171,817,543,241,295,2000,714,24.79,8.85,3829,1603,570,1033,2226,1844,1401,751,650,443,80,55,25,363,246,117,382,188,194,453,3376,1844,23,23,0,23,0,0,0,0,0,0,4113,3829,284,1640,242,1947,130,5,94,7,30,0,18,1882,15,332,582,346,185,174,147,63,38,1947,221,670,349,239,99,74,81,83,131,71897804.0205078,41607.2245861301
9,35,Harvey Park South,8393,3925,3641,171,54,464,11,17,110,46.77,43.38,2.04,0.64,5.53,0.13,0.2,1.31,3255,3102,153,4090,4303,635,568,531,331,240,96,99,372,682,609,514,481,544,599,502,166,219,128,153,252,273,221,178,1203,1102,1249,1123,1025,1101,666,525,399,2065,1205,24.6,14.36,3102,851,343,508,2251,2062,1398,563,835,664,206,92,114,458,249,209,189,103,86,369,2733,2062,232,195,98,0,97,0,37,37,0,0,3255,3102,153,1318,607,1177,86,1,33,6,4,0,23,1925,11,209,282,420,214,159,219,299,112,1177,131,344,216,197,75,60,86,48,20,38135167.6474609,26827.0035322748
10,28,Gateway / Green Valley Ranch,29201,10818,7003,8305,108,1655,110,65,1137,37.05,23.98,28.44,0.37,5.67,0.38,0.22,3.89,9900,9427,473,14160,15041,3071,3005,2620,1378,681,315,310,1110,2527,2835,2730,2218,1860,1501,1270,399,427,234,243,243,115,70,39,6076,4679,4262,5565,4078,2771,1303,358,109,10074,944,34.5,3.23,9427,1819,908,911,7608,7056,4907,3051,1856,2149,589,353,236,1560,1102,458,552,322,230,1215,8212,7056,0,0,0,0,0,0,0,0,0,0,9900,9427,473,6471,179,2777,118,7,180,12,18,0,138,6650,169,1602,2071,1513,573,363,300,55,4,2777,321,946,706,462,164,100,58,18,2,205246146.420898,66249.9635173919
11,5,Barnum West,5376,4016,1151,40,53,81,2,5,28,74.7,21.41,0.74,0.99,1.51,0.04,0.09,0.52,1811,1704,107,2754,2622,483,437,406,253,170,83,98,253,419,357,354,372,324,316,266,76,116,69,110,156,115,88,55,920,829,853,711,696,582,371,271,143,1579,593,29.37,11.03,1704,381,180,201,1323,1207,776,391,385,431,154,68,86,277,126,151,116,67,49,260,1444,1207,0,0,0,0,0,0,0,0,0,0,1811,1704,107,895,262,547,16,2,32,8,4,0,45,1157,27,158,203,256,126,86,160,107,34,547,43,130,136,82,30,29,51,33,13,20179221.5791016,18309.0740322238
12,46,Montclair,5456,461,4245,480,27,107,5,9,122,8.45,77.8,8.8,0.49,1.96,0.09,0.16,2.24,2871,2706,165,2626,2830,370,271,214,128,113,54,59,152,420,507,541,479,412,374,452,175,196,92,105,120,69,69,84,641,455,685,1048,891,826,568,189,153,983,539,18.02,9.88,2706,1061,443,618,1645,1282,972,415,557,310,76,42,34,234,142,92,363,205,158,440,2266,1282,2,0,0,0,0,0,2,0,0,2,2871,2706,165,1509,351,846,43,3,61,5,16,0,37,1860,9,267,426,389,229,218,181,85,56,846,122,213,192,129,68,53,43,17,9,28225487.2880859,21466.5426414867
13,51,Platt Park,5393,329,4778,55,12,98,3,2,116,6.1,88.6,1.02,0.22,1.82,0.06,0.04,2.15,2840,2677,163,2603,2790,400,198,156,96,50,30,27,222,710,671,590,447,392,365,369,149,181,64,67,71,40,48,50,598,302,989,1261,839,734,461,111,98,850,340,15.76,6.3,2677,967,431,536,1710,1234,1000,407,593,234,65,28,37,169,80,89,476,261,215,528,2149,1234,3,0,0,0,0,0,3,0,0,3,2840,2677,163,1420,314,943,30,9,36,19,15,0,54,1734,17,294,466,370,202,175,118,59,33,943,87,430,175,115,49,40,34,8,5,22814495.8129883,19693.9448820833
14,59,Speer,10954,1222,8971,239,51,242,10,17,202,11.16,81.9,2.18,0.47,2.21,0.09,0.16,1.84,7965,7304,661,5607,5347,333,188,121,65,66,81,100,876,2502,1736,1106,699,562,539,550,219,295,136,152,164,108,131,225,521,252,3559,2842,1261,1089,802,272,356,707,916,6.45,8.36,7304,4646,2281,2365,2658,1400,1005,276,729,395,147,62,85,248,116,132,1258,714,544,1369,5935,1400,14,0,0,0,0,0,14,0,0,14,7965,7304,661,1810,356,5138,388,14,90,13,79,0,77,2166,32,597,535,338,173,202,183,78,28,5138,577,2304,805,518,253,204,169,130,178,23807849.2333984,19917.3803327446
15,20,Congress Park,10235,828,8429,452,46,214,4,25,237,8.09,82.35,4.42,0.45,2.09,0.04,0.24,2.32,6208,5724,484,5110,5125,552,399,324,152,84,52,74,580,1494,1330,1076,844,656,654,643,245,332,160,172,133,101,96,82,951,560,2200,2406,1500,1297,909,234,178,1427,744,13.94,7.27,5724,2895,1391,1504,2829,1940,1495,629,866,445,145,70,75,300,174,126,889,474,415,995,4729,1940,83,40,40,0,0,0,43,0,0,43,6208,5724,484,1993,433,3298,263,13,85,13,30,0,80,2426,28,413,620,485,261,269,222,91,37,3298,359,1382,612,385,173,159,133,70,25,28693595.5063477,21415.6010928247
