name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Denver,2024-01-01,51.7,24.6,36,51.7,15.9,31.4,18.4,51.3,0,0,0,,0,0.5,15.2,8,184.9,1020.9,50.6,9.9,86.3,7.5,6,10,2024-01-01T07:21:11,2024-01-01T16:45:55,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-02,47.6,24.8,34.6,43.6,17,30,21.1,59.4,0,0,0,,0,1,17.2,9.5,170.8,1021.2,32.6,9.9,99.5,8.6,5,10,2024-01-02T07:21:18,2024-01-02T16:46:45,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-03,44.2,23.3,31.9,37.2,16.2,24.9,17.2,56.3,0,0,0,snow,0,1,26.4,15.1,154.1,1017.9,39.9,9.9,101.1,8.8,5,10,2024-01-03T07:21:22,2024-01-03T16:47:37,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-04,32.9,24.2,27.6,31.4,17.5,23.5,19.5,71.9,0,0,0,snow,0.3,1,9.6,8.1,327.7,1013.9,88.2,9.6,58.8,5.1,4,10,2024-01-04T07:21:25,2024-01-04T16:48:29,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-05,38.7,22.8,30.6,35.1,16.9,26.7,18,61,0,0,0,,0,0,23,9.7,15.4,1012.8,76,9.7,91.4,7.9,5,10,2024-01-05T07:21:25,2024-01-05T16:49:24,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-06,38.6,19,28.4,32.7,10.9,21.4,10.2,50.5,0,0,0,snow,0.4,0,29.8,13.4,238.6,1011.6,60.1,9.7,104.8,9.1,5,10,2024-01-06T07:21:24,2024-01-06T16:50:19,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-07,34.3,21.1,27.7,29.5,11.1,20,6.6,40.8,0,0,0,snow,0.1,0,16.1,12.3,272.4,1003.1,88.4,9.9,59.6,5.1,4,10,2024-01-07T07:21:20,2024-01-07T16:51:16,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-08,26.6,11.2,20.4,13.4,-1.1,7,9.9,64.8,0.039,100,20.83,snow,3.4,0.3,36,25.2,358.7,1012.5,66.2,7.2,76.5,6.6,4,10,2024-01-08T07:21:14,2024-01-08T16:52:14,0.91,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-09,42.8,8.6,27,41,-4.6,19,5.9,41.3,0,0,0,,0,1.8,31.1,13.5,243.7,1007.8,45.2,9.9,79.8,6.7,5,10,2024-01-09T07:21:05,2024-01-09T16:53:13,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-10,39.1,23.4,31.1,31,12.7,20.5,3.7,33.4,0,0,0,,0,1.7,41.3,26.9,265.3,999,50.7,9.8,115.6,10,5,10,2024-01-10T07:20:55,2024-01-10T16:54:14,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
Denver,2024-01-11,30.6,4.4,18.8,21.2,-7.4,8.2,6.1,58.3,0,0,0,"rain,snow",0.3,0.1,29.7,18.2,9.5,1003,79.9,9.1,53.5,4.6,4,10,2024-01-11T07:20:42,2024-01-11T16:55:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
